Frame	Time	SMPTE	BKHD X	BKHD Y	BKHD Z	RFHD X	RFHD Y	RFHD Z	LFHD X	LFHD Y	LFHD Z	C7 X	C7 Y	C7 Z	NCK X	NCK Y	NCK Z	RSHD X	RSHD Y	RSHD Z	LSHD X	LSHD Y	LSHD Z	RELB X	RELB Y	RELB Z	LELB X	LELB Y	LELB Z	RWRS X	RWRS Y	RWRS Z	LWRS X	LWRS Y	LWRS Z	RIND X	RIND Y	RIND Z	LIND X	LIND Y	LIND Z	RPNK X	RPNK Y	RPNK Z	LPNK X	LPNK Y	LPNK Z	RFHP X	RFHP Y	RFHP Z	RBHP X	RBHP Y	RBHP Z	LFHP X	LFHP Y	LFHP Z	LBHP X	LBHP Y	LBHP Z	RKNE X	RKNE Y	RKNE Z	LKNE X	LKNE Y	LKNE Z	RFAK X	RFAK Y	RFAK Z	RBAK X	RBAK Y	RBAK Z	LFAK X	LFAK Y	LFAK Z	LBAK X	LBAK Y	LBAK Z
1	0.000000	00:00:00:01	-27.982462	1.654118	-1.232533	-27.946736	1.714478	-1.112294	-28.067295	1.698373	-1.134088	-28.011110	1.579340	-1.151655	-28.018428	1.578917	-1.132399	-28.136480	1.574135	-1.177502	-27.865978	1.559754	-1.141790	-27.972332	1.580196	-0.872350	-27.978447	0.794152	-1.607861	-27.771578	1.561944	-0.569883	-28.091590	-0.011907	-2.069457	-27.768109	1.554379	-0.558601	-28.095499	-0.010656	-2.054393	-27.763703	1.561498	-0.563080	-28.103940	0.000391	-2.067467	-28.187637	0.999213	-1.134278	-28.172398	1.007161	-1.187939	-27.831526	1.011227	-1.097119	-27.827823	0.995807	-1.145602	-28.186837	0.486519	-1.150993	-27.833517	0.480567	-1.105216	-28.179742	-0.014750	-1.137156	-28.179558	-0.038919	-1.164618	-27.825649	-0.024907	-1.064212	-27.814144	-0.035490	-1.126080
2	0.013895	00:00:00:02	-27.988618	1.667295	-1.236252	-27.936714	1.718232	-1.114867	-28.062909	1.706748	-1.117601	-28.007494	1.566412	-1.159772	-28.006880	1.583892	-1.123255	-28.145772	1.571406	-1.166690	-27.848050	1.573747	-1.139798	-27.964877	1.566118	-0.881180	-27.979017	0.778529	-1.590806	-27.769605	1.554872	-0.578708	-28.081989	-0.015446	-2.061461	-27.770135	1.566167	-0.570712	-28.110333	0.000268	-2.067037	-27.769971	1.559486	-0.571861	-28.085820	-0.013181	-2.052512	-28.193157	1.023955	-1.139448	-28.172079	0.987976	-1.186773	-27.817256	1.004514	-1.091774	-27.820602	1.002189	-1.151645	-28.182043	0.492377	-1.146970	-27.818093	0.493964	-1.106923	-28.170242	-0.015139	-1.102352	-28.171651	-0.022239	-1.175654	-27.822604	-0.022248	-1.072222	-27.824250	-0.032965	-1.112754
3	0.027791	00:00:00:03	-27.996752	1.660438	-1.242179	-27.941751	1.708937	-1.110197	-28.071416	1.702100	-1.125591	-28.005414	1.572660	-1.148351	-28.004034	1.592066	-1.122159	-28.138893	1.585747	-1.170948	-27.851321	1.568290	-1.131654	-27.957406	1.564244	-0.878015	-27.972554	0.776289	-1.593445	-27.766172	1.558373	-0.571848	-28.089971	-0.010998	-2.058542	-27.771511	1.562340	-0.566354	-28.103756	-0.029165	-2.070622	-27.757632	1.550973	-0.581731	-28.090395	-0.014227	-2.067481	-28.168854	1.007000	-1.148032	-28.180909	0.998201	-1.188777	-27.835624	1.019159	-1.092267	-27.833633	0.997764	-1.140058	-28.183279	0.494958	-1.148949	-27.828053	0.477341	-1.109210	-28.206546	-0.003184	-1.103791	-28.170808	-0.041125	-1.165767	-27.838527	-0.026865	-1.067021	-27.821756	-0.022837	-1.124901
4	0.041686	00:00:00:04	-27.998966	1.653439	-1.239686	-27.954162	1.696677	-1.103896	-28.072776	1.694141	-1.120743	-27.995034	1.575985	-1.155428	-27.998943	1.586589	-1.124416	-28.153884	1.576035	-1.173835	-27.851121	1.584325	-1.153632	-27.949028	1.571176	-0.879643	-27.975631	0.790178	-1.596880	-27.761350	1.563167	-0.567995	-28.080925	-0.007071	-2.060437	-27.759722	1.575310	-0.563517	-28.108701	-0.013963	-2.056524	-27.767669	1.563503	-0.566030	-28.090228	-0.024426	-2.065445	-28.178297	1.027913	-1.142382	-28.187555	0.990823	-1.179605	-27.824846	1.026828	-1.096545	-27.814273	1.003076	-1.137822	-28.184299	0.487026	-1.139753	-27.813948	0.475189	-1.112145	-28.176644	-0.006580	-1.115793	-28.166391	-0.039613	-1.184252	-27.823019	-0.018244	-1.073071	-27.827704	-0.030254	-1.125780
5	0.055581	00:00:00:05	-27.991933	1.660802	-1.236494	-27.932078	1.706359	-1.112448	-28.055222	1.689038	-1.135691	-28.007456	1.569501	-1.154230	-27.997028	1.585268	-1.121214	-28.136454	1.574079	-1.160024	-27.845927	1.562522	-1.139568	-27.960624	1.575604	-0.874287	-27.974596	0.784378	-1.591469	-27.770260	1.556886	-0.570841	-28.086434	-0.014665	-2.072363	-27.772758	1.567358	-0.577697	-28.096205	-0.018084	-2.060415	-27.763139	1.559207	-0.576682	-28.105441	-0.020256	-2.052763	-28.183262	1.016994	-1.138300	-28.178893	0.989094	-1.185889	-27.835307	1.009683	-1.096292	-27.829257	0.997084	-1.137333	-28.178573	0.487321	-1.141812	-27.840108	0.488633	-1.100621	-28.177441	-0.018937	-1.109835	-28.175045	-0.042685	-1.179227	-27.824955	-0.009010	-1.072033	-27.832742	-0.023834	-1.132950
6	0.069476	00:00:00:06	-27.980477	1.680215	-1.237500	-27.946817	1.698886	-1.120958	-28.054602	1.714768	-1.144466	-28.002813	1.575342	-1.162585	-28.007831	1.598711	-1.111720	-28.152060	1.578600	-1.170893	-27.867288	1.570497	-1.144410	-27.959766	1.576603	-0.869460	-27.955152	0.784640	-1.589626	-27.760879	1.568362	-0.588131	-28.097194	-0.029704	-2.044416	-27.773754	1.550229	-0.566437	-28.095898	-0.024853	-2.057707	-27.763827	1.563929	-0.565233	-28.090839	-0.009173	-2.043159	-28.199845	1.023980	-1.131440	-28.192862	0.990808	-1.176830	-27.833677	1.014093	-1.097732	-27.840240	0.986911	-1.138167	-28.183776	0.503889	-1.159715	-27.817557	0.491550	-1.107794	-28.182694	-0.016573	-1.104310	-28.169247	-0.030969	-1.168083	-27.835081	-0.019057	-1.076944	-27.822491	-0.038425	-1.121496
7	0.083372	00:00:00:07	-27.981199	1.664133	-1.243184	-27.937537	1.707958	-1.110505	-28.059120	1.699848	-1.131061	-27.991292	1.564994	-1.156229	-28.004834	1.586363	-1.104629	-28.144443	1.568483	-1.177351	-27.847968	1.563507	-1.145479	-27.962981	1.560787	-0.882189	-27.975458	0.785193	-1.594346	-27.754134	1.562376	-0.586741	-28.101439	-0.021475	-2.063724	-27.763657	1.564952	-0.589994	-28.096298	-0.021063	-2.075473	-27.762453	1.557366	-0.566142	-28.089208	-0.019884	-2.049333	-28.176639	1.016852	-1.131813	-28.177328	0.999347	-1.180946	-27.843031	1.015724	-1.092016	-27.821597	0.989093	-1.144089	-28.172255	0.485191	-1.148772	-27.814644	0.489297	-1.100724	-28.195542	-0.022264	-1.103534	-28.179457	-0.036785	-1.165812	-27.831365	-0.013926	-1.082650	-27.832733	-0.034016	-1.129960
8	0.097267	00:00:00:08	-27.999108	1.671103	-1.242936	-27.935715	1.703499	-1.121969	-28.064294	1.709286	-1.125044	-27.997124	1.577511	-1.154205	-27.993325	1.578526	-1.115335	-28.152544	1.573818	-1.166182	-27.865305	1.577913	-1.127628	-27.952558	1.577700	-0.871322	-27.975605	0.771025	-1.587821	-27.757320	1.579515	-0.570639	-28.103460	-0.015858	-2.056764	-27.771435	1.542095	-0.576045	-28.097839	-0.016757	-2.054836	-27.751820	1.555359	-0.561861	-28.112985	-0.026305	-2.070849	-28.170021	1.008003	-1.114759	-28.181483	0.990212	-1.196435	-27.837734	1.016757	-1.091371	-27.826073	0.995985	-1.145704	-28.185707	0.481431	-1.144146	-27.818973	0.491742	-1.106329	-28.175953	-0.017724	-1.112566	-28.174219	-0.035821	-1.172374	-27.814550	-0.016854	-1.070951	-27.822098	-0.028402	-1.120151
9	0.111162	00:00:00:09	-27.990905	1.671325	-1.234203	-27.959183	1.701998	-1.121678	-28.068168	1.708202	-1.136570	-27.989888	1.574404	-1.163005	-28.006457	1.566609	-1.126461	-28.146881	1.584038	-1.160352	-27.854889	1.579420	-1.129974	-27.953193	1.576806	-0.874542	-27.981900	0.774070	-1.600042	-27.777912	1.564834	-0.579165	-28.090742	-0.016639	-2.069548	-27.764396	1.567417	-0.576158	-28.094506	-0.016207	-2.053611	-27.771242	1.570451	-0.580470	-28.081392	-0.007869	-2.067971	-28.188512	0.995815	-1.139129	-28.180074	0.987549	-1.167843	-27.845379	1.003269	-1.102366	-27.830941	0.986983	-1.161759	-28.189702	0.481738	-1.155103	-27.816484	0.481569	-1.111621	-28.191316	-0.017607	-1.104607	-28.168852	-0.028142	-1.155046	-27.826429	-0.011735	-1.061675	-27.823887	-0.046705	-1.116617
10	0.125058	00:00:00:10	-27.994326	1.652895	-1.227416	-27.935288	1.707889	-1.120084	-28.072016	1.703097	-1.123529	-27.996634	1.575354	-1.168519	-28.011316	1.593167	-1.107622	-28.144070	1.581048	-1.180920	-27.842819	1.587191	-1.152888	-27.971717	1.565232	-0.879287	-27.989128	0.774669	-1.613578	-27.758095	1.563474	-0.584551	-28.080837	-0.012496	-2.061461	-27.776702	1.562352	-0.569963	-28.079523	-0.010168	-2.051614	-27.768540	1.556205	-0.559260	-28.095501	-0.017504	-2.072704	-28.189678	1.005589	-1.133406	-28.173951	0.979374	-1.182755	-27.833712	1.008762	-1.082190	-27.837653	0.998204	-1.151429	-28.181137	0.491086	-1.144002	-27.835811	0.501608	-1.115787	-28.185325	-0.013105	-1.115565	-28.180435	-0.047609	-1.167634	-27.834190	-0.015880	-1.069543	-27.811117	-0.027604	-1.125243
