Frame	Time	SMPTE	BKHD X	BKHD Y	BKHD Z	RFHD X	RFHD Y	RFHD Z	LFHD X	LFHD Y	LFHD Z	C7 X	C7 Y	C7 Z	NCK X	NCK Y	NCK Z	RSHD X	RSHD Y	RSHD Z	LSHD X	LSHD Y	LSHD Z	RELB X	RELB Y	RELB Z	LELB X	LELB Y	LELB Z	RWRS X	RWRS Y	RWRS Z	LWRS X	LWRS Y	LWRS Z	RIND X	RIND Y	RIND Z	LIND X	LIND Y	LIND Z	RPNK X	RPNK Y	RPNK Z	LPNK X	LPNK Y	LPNK Z	RFHP X	RFHP Y	RFHP Z	RBHP X	RBHP Y	RBHP Z	LFHP X	LFHP Y	LFHP Z	LBHP X	LBHP Y	LBHP Z	RKNE X	RKNE Y	RKNE Z	LKNE X	LKNE Y	LKNE Z	RFAK X	RFAK Y	RFAK Z	RBAK X	RBAK Y	RBAK Z	LFAK X	LFAK Y	LFAK Z	LBAK X	LBAK Y	LBAK Z
1	0.000000	00:00:00:01	-27.977964	1.683863	-1.250411	-27.984404	1.679230	-1.148268	-28.090397	1.686192	-1.131006	-28.008332	1.504438	-1.148462	-28.033588	1.554628	-1.140759	-28.172572	1.549248	-1.165242	-27.836358	1.517749	-1.119443	-27.976007	1.534173	-0.875587	-27.982220	0.750733	-1.609918	-27.775469	1.542522	-0.554279	-28.093372	-0.060595	-2.079865	-27.764063	1.530084	-0.559463	-28.093631	-0.066309	-2.046799	-27.747895	1.549143	-0.551643	-28.066258	-0.029547	-2.053557	-28.214685	0.975652	-1.105840	-28.236438	0.932348	-1.174355	-27.837831	1.012991	-1.081939	-27.836557	0.960258	-1.122829	-28.179299	0.451443	-1.119420	-27.825681	0.464277	-1.130307	-28.216684	-0.058606	-1.134296	-28.191329	-0.051402	-1.164142	-27.819833	-0.011124	-1.073904	-27.822822	-0.061515	-1.128561
2	0.013893	00:00:00:02	-27.990496	1.592951	-1.263357	-27.976381	1.633674	-1.095003	-28.041700	1.666171	-1.130240	-28.004907	1.526950	-1.156702	-27.982887	1.566756	-1.113416	-28.167035	1.538839	-1.173815	-27.830617	1.545862	-1.151748	-27.988247	1.531362	-0.885986	-27.992700	0.770697	-1.618764	-27.776855	1.517788	-0.584127	-28.057729	-0.046636	-2.069945	-27.762838	1.535360	-0.588779	-28.089797	-0.045991	-2.065410	-27.763934	1.526701	-0.564111	-28.061274	-0.036972	-2.061593	-28.201853	0.951465	-1.144238	-28.165020	0.986770	-1.204317	-27.855030	0.979384	-1.079101	-27.808860	0.963600	-1.122666	-28.185175	0.450804	-1.148875	-27.823388	0.453603	-1.112278	-28.176202	-0.019057	-1.092421	-28.168404	-0.059371	-1.160923	-27.798049	-0.038868	-1.084910	-27.815774	-0.064511	-1.105020
3	0.027786	00:00:00:03	-27.978087	1.621216	-1.231561	-27.949298	1.640021	-1.109292	-28.093927	1.641134	-1.127502	-27.998165	1.528995	-1.136931	-28.008208	1.535743	-1.105866	-28.164796	1.554093	-1.200894	-27.862549	1.497646	-1.128897	-27.945665	1.528657	-0.868585	-27.963482	0.742191	-1.594398	-27.831612	1.526703	-0.564426	-28.096128	-0.030973	-2.089239	-27.740693	1.495569	-0.582795	-28.072523	-0.074045	-2.052156	-27.742544	1.495758	-0.566045	-28.109121	-0.030628	-2.104721	-28.194493	1.002797	-1.121384	-28.176970	0.954137	-1.163112	-27.834387	1.014511	-1.076026	-27.790747	0.935798	-1.143439	-28.220548	0.426863	-1.148443	-27.805944	0.454026	-1.123973	-28.179014	-0.036260	-1.103535	-28.198225	-0.102763	-1.141062	-27.830428	-0.070126	-1.083840	-27.827853	-0.088316	-1.107161
4	0.041679	00:00:00:04	-28.000977	1.635057	-1.250286	-27.937089	1.684373	-1.119041	-28.047354	1.669981	-1.144566	-27.980054	1.538842	-1.139202	-28.018435	1.563469	-1.121848	-28.119032	1.549425	-1.160959	-27.828233	1.538328	-1.117582	-27.986515	1.532297	-0.842653	-27.972458	0.756063	-1.599978	-27.790293	1.536130	-0.582697	-28.084749	-0.058721	-2.087318	-27.779754	1.529484	-0.549633	-28.122019	-0.060038	-2.051816	-27.754932	1.513716	-0.547993	-28.074404	-0.060011	-2.096983	-28.174743	0.983566	-1.130012	-28.174266	0.987167	-1.168304	-27.788390	0.962543	-1.072761	-27.822443	0.936692	-1.141187	-28.221968	0.454658	-1.155618	-27.786983	0.470823	-1.130093	-28.203927	-0.031208	-1.069925	-28.165094	-0.058887	-1.168743	-27.855397	-0.072729	-1.056582	-27.803441	-0.071027	-1.107497
5	0.055572	00:00:00:05	-27.969210	1.629859	-1.238257	-27.942363	1.672815	-1.116581	-28.074795	1.671231	-1.116970	-28.006492	1.587431	-1.147189	-27.970339	1.492725	-1.093122	-28.140086	1.539097	-1.159430	-27.858964	1.521906	-1.145567	-27.988897	1.498847	-0.886408	-27.975110	0.716941	-1.591897	-27.759010	1.532616	-0.585060	-28.094478	-0.031313	-2.045093	-27.758317	1.506508	-0.574135	-28.105073	-0.084808	-2.089960	-27.751529	1.523113	-0.591130	-28.116874	-0.010917	-2.080841	-28.176882	0.951568	-1.136555	-28.152031	0.948631	-1.163187	-27.836737	0.977021	-1.100549	-27.836878	0.956771	-1.137818	-28.190149	0.420147	-1.113652	-27.814199	0.454584	-1.091352	-28.159714	-0.072201	-1.126390	-28.142699	-0.046388	-1.158053	-27.827717	-0.051066	-1.066654	-27.838075	-0.062698	-1.161167
6	0.069465	00:00:00:06	-28.029733	1.629613	-1.271794	-27.965690	1.684136	-1.105995	-28.045931	1.698129	-1.141231	-28.032022	1.532925	-1.166409	-27.983537	1.559850	-1.081988	-28.130049	1.536439	-1.144520	-27.870289	1.519188	-1.162177	-27.956422	1.518282	-0.878581	-27.992903	0.720902	-1.585264	-27.743501	1.534491	-0.596346	-28.043975	-0.037102	-2.010796	-27.799181	1.554551	-0.572362	-28.094887	-0.044560	-2.061468	-27.785519	1.513204	-0.609952	-28.096953	-0.053967	-2.071097	-28.182033	0.978960	-1.116108	-28.183474	0.968857	-1.205676	-27.844174	0.965983	-1.058164	-27.844997	0.975631	-1.164324	-28.152852	0.431624	-1.154194	-27.835821	0.443730	-1.082928	-28.212010	-0.068224	-1.085358	-28.193463	-0.077928	-1.162859	-27.865119	-0.044913	-1.064761	-27.818466	-0.041051	-1.132840
7	0.083359	00:00:00:07	-27.976206	1.635612	-1.238160	-27.938549	1.678565	-1.133234	-28.059617	1.658596	-1.105973	-27.999481	1.532585	-1.164141	-27.983203	1.576206	-1.127383	-28.126759	1.548266	-1.187672	-27.843276	1.565157	-1.129521	-27.944834	1.533949	-0.892445	-27.959900	0.725473	-1.601269	-27.781029	1.478771	-0.594070	-28.115269	-0.029215	-2.057099	-27.781118	1.490515	-0.570889	-28.101133	-0.059442	-2.055252	-27.714199	1.550811	-0.579120	-28.069357	-0.044889	-2.064512	-28.193888	0.970174	-1.143732	-28.195559	0.947332	-1.215556	-27.805547	0.971713	-1.094165	-27.830248	0.960939	-1.165637	-28.179185	0.478998	-1.153163	-27.825960	0.451392	-1.109906	-28.216991	-0.027691	-1.097295	-28.174074	-0.050667	-1.184889	-27.857051	-0.050797	-1.083883	-27.841074	-0.063584	-1.120473
8	0.097252	00:00:00:08	-27.988688	1.612086	-1.237630	-27.940258	1.634438	-1.113050	-28.073095	1.701985	-1.127717	-27.983933	1.524009	-1.151488	-28.014256	1.552436	-1.118620	-28.156133	1.522747	-1.198357	-27.854632	1.523771	-1.163042	-27.908649	1.541360	-0.866485	-27.958275	0.773685	-1.584468	-27.755118	1.528270	-0.563438	-28.109149	-0.062351	-2.062167	-27.784914	1.530860	-0.548087	-28.114542	-0.086801	-2.052913	-27.769305	1.541975	-0.601760	-28.090780	-0.022231	-2.045123	-28.195120	0.985918	-1.130112	-28.159147	0.972326	-1.194644	-27.859419	0.984126	-1.103207	-27.802338	0.944678	-1.132696	-28.204776	0.470944	-1.104403	-27.828402	0.448215	-1.118862	-28.191774	-0.036780	-1.127254	-28.150215	-0.056331	-1.168761	-27.807387	-0.063550	-1.077461	-27.806900	-0.082865	-1.103097
9	0.111145	00:00:00:09	-27.975978	1.623526	-1.233628	-27.939156	1.671414	-1.113242	-28.064509	1.701737	-1.121403	-27.981244	1.542982	-1.151932	-27.981054	1.559416	-1.135681	-28.173487	1.570841	-1.173952	-27.840592	1.545371	-1.155723	-27.971830	1.528942	-0.863353	-27.955867	0.716463	-1.604162	-27.747745	1.552693	-0.603858	-28.090884	-0.072087	-2.012248	-27.742337	1.539052	-0.584757	-28.093912	-0.070041	-2.080125	-27.751017	1.546675	-0.566853	-28.092121	-0.038959	-2.075212	-28.173212	0.982516	-1.149241	-28.172748	0.944905	-1.197330	-27.863307	0.978686	-1.096273	-27.830725	0.953811	-1.135532	-28.180580	0.453574	-1.127617	-27.847042	0.446461	-1.128639	-28.181492	-0.059857	-1.127312	-28.216868	-0.060147	-1.171115	-27.825951	-0.058885	-1.070830	-27.815454	-0.083122	-1.146997
10	0.125038	00:00:00:10	-28.010180	1.650929	-1.252356	-27.920763	1.689961	-1.119135	-28.070162	1.623505	-1.130808	-27.976246	1.545881	-1.175185	-27.971966	1.566206	-1.092815	-28.163541	1.540910	-1.176361	-27.840937	1.525451	-1.129483	-27.936439	1.526844	-0.903722	-27.980680	0.727996	-1.597192	-27.766405	1.516696	-0.559690	-28.084555	-0.057690	-2.092397	-27.782861	1.535600	-0.568645	-28.108034	-0.039698	-2.069235	-27.787212	1.524829	-0.587804	-28.059345	-0.078823	-2.068957	-28.161715	0.951850	-1.140011	-28.142907	0.946756	-1.191675	-27.817125	0.993314	-1.108286	-27.815256	0.956283	-1.103661	-28.196399	0.452286	-1.140148	-27.856858	0.431002	-1.121757	-28.162123	-0.036180	-1.130975	-28.201204	-0.076373	-1.122191	-27.853932	-0.044369	-1.067491	-27.823565	-0.053633	-1.127984
